XL2 Broadband Logging:		$FILENAME                                                     
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-25, 09:12:14
	End:            	--------------------

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-25  	09:15:15  	00:03:01  	48.7    	61.1    
	2017-06-25  	09:15:16  	00:03:02  	47.8    	61.1    
	2017-06-25  	09:15:17  	00:03:03  	48.0    	61.1    
	2017-06-25  	09:15:18  	00:03:04  	49.1    	61.1    
	2017-06-25  	09:15:19  	00:03:05  	48.4    	61.0    
	2017-06-25  	09:15:20  	00:03:06  	49.7    	61.0    
	2017-06-25  	09:15:21  	00:03:07  	47.9    	61.0    
	2017-06-25  	09:15:22  	00:03:08  	48.1    	61.0    
	2017-06-25  	09:15:23  	00:03:09  	48.6    	60.9    
	2017-06-25  	09:15:24  	00:03:10  	49.1    	60.9    
	2017-06-25  	09:15:25  	00:03:11  	49.3    	60.9    
	2017-06-25  	09:15:26  	00:03:12  	48.2    	60.9    
	2017-06-25  	09:15:27  	00:03:13  	48.6    	60.9    
	2017-06-25  	09:15:28  	00:03:14  	49.1    	60.8    
	2017-06-25  	09:15:29  	00:03:15  	49.4    	60.8    
	2017-06-25  	09:15:30  	00:03:16  	49.3    	60.8    
	2017-06-25  	09:15:31  	00:03:17  	49.2    	60.8    
	2017-06-25  	09:15:32  	00:03:18  	50.1    	60.8    
	2017-06-25  	09:15:33  	00:03:19  	50.3    	60.7    
	2017-06-25  	09:15:34  	00:03:20  	50.3    	60.7    
	2017-06-25  	09:15:35  	00:03:21  	50.9    	60.7    
	2017-06-25  	09:15:36  	00:03:22  	51.3    	60.7    
	2017-06-25  	09:15:37  	00:03:23  	50.2    	60.7    
	2017-06-25  	09:15:38  	00:03:24  	50.1    	60.6    
	2017-06-25  	09:15:39  	00:03:25  	49.9    	60.6    
	2017-06-25  	09:15:40  	00:03:26  	49.7    	60.6    
	2017-06-25  	09:15:41  	00:03:27  	50.0    	60.6    
	2017-06-25  	09:15:42  	00:03:28  	49.7    	60.6    
	2017-06-25  	09:15:43  	00:03:29  	49.5    	60.5    
	2017-06-25  	09:15:44  	00:03:30  	50.1    	60.5    
	2017-06-25  	09:15:45  	00:03:31  	50.1    	60.5    
	2017-06-25  	09:15:46  	00:03:32  	49.9    	60.5    
	2017-06-25  	09:15:47  	00:03:33  	50.2    	60.5    
	2017-06-25  	09:15:48  	00:03:34  	49.9    	60.5    
	2017-06-25  	09:15:49  	00:03:35  	49.6    	60.4    
	2017-06-25  	09:15:50  	00:03:36  	50.0    	60.4    
	2017-06-25  	09:15:51  	00:03:37  	49.9    	60.4    
	2017-06-25  	09:15:52  	00:03:38  	50.6    	60.4    
	2017-06-25  	09:15:53  	00:03:39  	50.6    	60.4    
	2017-06-25  	09:15:54  	00:03:40  	50.0    	60.3    
	2017-06-25  	09:15:55  	00:03:41  	50.5    	60.3    
	2017-06-25  	09:15:56  	00:03:42  	50.4    	60.3    
	2017-06-25  	09:15:57  	00:03:43  	51.0    	60.3    
	2017-06-25  	09:15:58  	00:03:44  	50.9    	60.3    
	2017-06-25  	09:15:59  	00:03:45  	51.4    	60.3    
	2017-06-25  	09:16:00  	00:03:46  	50.7    	60.2    
	2017-06-25  	09:16:01  	00:03:47  	51.0    	60.2    
	2017-06-25  	09:16:02  	00:03:48  	51.1    	60.2    
	2017-06-25  	09:16:03  	00:03:49  	51.1    	60.2    
	2017-06-25  	09:16:04  	00:03:50  	50.9    	60.2    
	2017-06-25  	09:16:05  	00:03:51  	51.0    	60.2    
	2017-06-25  	09:16:06  	00:03:52  	50.8    	60.1    
	2017-06-25  	09:16:07  	00:03:53  	50.3    	60.1    
	2017-06-25  	09:16:08  	00:03:54  	50.4    	60.1    
	2017-06-25  	09:16:09  	00:03:55  	50.2    	60.1    
	2017-06-25  	09:16:10  	00:03:56  	50.2    	60.1    
